title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Lawless,2012,Dramas,United States,7.3,5.92875121,7.370687667,7.187521477,7.044931394,7.19180674,5.912340842,7.365131686,7.18539818,7.034732949,7.346012093,5.90952381,7.311808986,7.206392083,6.957869013
Legion,2010,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",United States,5.2,5.9,5.332395659,5.115521925,5.528342663,5.209844458,5.899206349,5.340182159,5.11832089,5.441673612,5.62099958,5.899201597,5.822951572,5.547778309,5.965858655
Les Misérables,2012,"Dramas, International Movies, Music & Musicals","United Kingdom, United States",7.6,6.138297872,7.778345111,7.386497435,7.249594959,7.390576942,6.058748867,7.665502041,7.281903728,7.134941447,7.776897168,5.974242424,7.940135124,7.645714458,7.483419564
Lincoln,2012,Dramas,"United States, India",7.3,5.98372093,7.470334662,7.187471691,7.354276657,7.291632799,5.966603416,7.464156903,7.284056304,7.24752427,7.256667079,5.911045365,7.154907244,7.117001851,7.343589744
Lockout,2012,"Action & Adventure, International Movies, Sci-Fi & Fantasy","France, United States",6.1,5.899108028,6.275196875,5.99803706,5.993151623,6.097315148,5.898412698,6.271655329,5.997830002,5.992378049,6.166094033,5.9000999,6.288955329,6.062228517,6.011347518
Lolita,1962,"Classic Movies, Dramas, Romantic Movies","United Kingdom, United States",7.6,5.999439776,7.500380897,7.459294782,7.486005499,7.570348148,5.96870229,7.460300764,7.547122862,7.468114818,7.297868864,5.923402163,7.133238485,7.204560261,6.994802421
Love Aaj Kal,2020,"Dramas, International Movies, Romantic Movies",India,5,5.889328063,5.233096402,5.145756458,5.858715596,5.031125828,5.903567889,5.277478345,5.249350649,5.86641791,5.570195794,5.899201597,5.744366197,5.739351446,5.885826772
Love for Sale 2,2019,"Dramas, International Movies, Romantic Movies",Indonesia,6.9,0,6.026714801,5.943929564,5.904170804,6.080458794,0,6.004651163,5.941486359,5.901192843,5.962792877,0,5.928182702,5.901574803,5.902097902
Love Jones,1997,"Comedies, Dramas, Independent Movies",United States,7.5,0,6.346289212,6.856913183,6.455531686,6.619038076,0,6.091366906,6.518313791,6.169496021,6.974630756,0,6.18357203,6.712351544,6.355713219
Loving Annabelle,2006,"Dramas, Independent Movies, LGBTQ Movies",United States,6.3,5.900199601,6.243161857,6.238414165,6.141332804,5.974206861,0,5.925980755,5.962335217,5.986877828,6.507198727,5.900199601,6.21962482,6.532460733,6.320289855
"LSD: Love, Sex Aur Dhokha",2010,"Dramas, Independent Movies, International Movies",India,7.1,0,6.552804378,6.872379032,5.884388186,6.949614792,0,6.536090226,6.930314233,5.913344887,5.96340694,0,5.945283019,5.943150685,5.873709834
Luck by Chance,2009,"Dramas, International Movies, Romantic Movies",India,7.1,5.905383848,6.812518629,6.810148429,6.156683345,6.86332008,5.903193613,6.784531799,6.79253112,6.068085106,6.483746556,5.902097902,6.089403974,6.350847458,5.985793872
Lucky: No Time for Love,2005,"Dramas, International Movies, Romantic Movies",India,4.7,5.898101898,5.41247216,5.140990429,5.765719361,5.03609527,5.898101898,5.429040097,5.202130616,5.813172542,5.616438356,0,5.824475524,5.668523002,5.845038168
Luv Shuv Tey Chicken Khurana,2012,"Comedies, International Movies, Romantic Movies",India,6.6,0,6.234846114,6.35026757,5.972759227,6.412683971,0,6.22182604,6.336644093,5.931182796,6.072433306,0,5.941486359,5.996394019,5.935294118
Mac & Devin Go to High School,2012,Comedies,United States,4.4,5.890551181,4.915610585,4.586419753,5.389704769,4.547142416,5.895540139,4.946389555,4.632700633,5.433648542,5.320245399,5.895228628,5.580246914,5.602640264,5.850620821
Machete Kills,2013,Action & Adventure,"United States, Russia",5.6,5.912426036,5.620652623,5.607991902,5.632644178,5.605245672,5.899108028,5.622965628,5.608726511,5.635414945,5.651238258,5.908366534,5.673310225,5.681632653,5.790961171
